representation,method,dimension,segment_balanced_accuracy_mean,segment_balanced_accuracy_std,record_balanced_accuracy_mean,record_balanced_accuracy_std,pairwise_linkability_roc_auc_mean,pairwise_linkability_roc_auc_std,n_seeds
Raw handcrafted,identity,208,0.8318382490117867,0.001742374644453,0.8596522485205739,0.0027861054511614,0.99860725,0.0001957008239635,3
"PCA, 8-D",pca,8,0.6764734445417746,0.0064308753704933,0.6860342908788001,0.0092935705727775,0.9651275,0.0029497697685582,3
"Random projection, 8-D",random_projection,8,0.6435978524760785,0.0132744768976362,0.6772854558681507,0.0172346755774305,0.81367025,0.0326255124212632,3
"Supervised encoder, 8-D",supervised_encoder,8,0.8647177459580769,0.0026898007730385,0.8978153140320161,0.0012955228880869,0.8824506666666667,0.0248093308081018,3
"Encoder + Gaussian, C=2",encoder_gaussian_c2,8,0.8390199559195869,0.0070622568072204,0.8944592909843158,0.0005361629754531,0.8073629166666666,0.0246538399295288,3
"Encoder + Gaussian, C=4",encoder_gaussian_c4,8,0.8067098094821148,0.0114573930778428,0.8871826998745705,0.0045613373357717,0.7233247083333333,0.0281723276756014,3
