representation,test_condition,prd_mean_mean,prd_mean_std,mean_lead_correlation_mean_mean,mean_lead_correlation_mean_std
encoder,link_selected_group,99.94343566894533,0.0794801998970285,0.0232327779767986,0.0118846634732688
encoder,oracle_group,99.98721567789714,0.0424949100308444,0.0219380880984455,0.0061175555715812
encoder,random_group,99.97788492838542,0.0803380393180502,0.0155875564545372,0.0086043378818027
encoder,single_segment,99.2176513671875,0.370614682382713,0.0709114962127831,0.0083947549565105
encoder_gaussian_noise,link_selected_group,100.03504435221356,0.0208770603811299,0.0151449603162681,0.0014968711000696
encoder_gaussian_noise,oracle_group,100.02694702148438,0.0124501269967965,0.0141449118114985,0.0032985621545026
encoder_gaussian_noise,random_group,100.05385335286458,0.0119412926250016,0.0041011508539605,0.0041452654525914
encoder_gaussian_noise,single_segment,99.76184336344402,0.1448414850965567,0.048541457504407,0.0062757359253907
raw_features,link_selected_group,99.10320536295572,0.1898312908856372,0.0906240421590162,0.0015935805695814
raw_features,oracle_group,98.77403004964192,0.1394135104117068,0.092265826110552,0.0027714511528513
raw_features,random_group,100.87732696533205,0.4784847682010351,0.0775050270571759,0.0054925890362616
raw_features,single_segment,96.59032694498698,0.1475513376021949,0.1637260043742459,0.0014583192923291
