representation,decoder,prd_mean_mean,prd_mean_std,snr_db_mean_mean,snr_db_mean_std,lead_ii_correlation_mean_mean,lead_ii_correlation_mean_std,lead_ii_maxlag_correlation_mean_mean,lead_ii_maxlag_correlation_mean_std,lead_ii_spectral_correlation_mean_mean,lead_ii_spectral_correlation_mean_std
waveform_baseline,train_mean,100.00560506184895,0.0015435970310851493,-0.0004839743390523666,0.00013388930165542467,-6.864946974186655e-05,0.0015055020698895925,0.21828048956772927,0.004045438293283936,0.6060172314197522,0.009650526027026615
waveform_baseline,target_pca_ceiling,53.967264811197914,0.1469458709934694,5.496061484018962,0.021869311692646564,0.9057109367130997,0.000495911828056881,0.9194174326859486,0.0005577230197397659,0.8720743411662154,0.00014831879717754095
raw_features,ridge,96.70266215006511,0.026907598589435068,0.3229752878348033,0.0029945926571540277,0.1837908912973786,0.0025747081596581996,0.31113608035629325,0.003273283830345902,0.6677610644227677,0.00140267294677078
raw_features,mlp,96.49313100179036,0.04230340301673253,0.34257174531618756,0.005691030060769959,0.17917998333150165,0.0020333572097181473,0.3173757745305956,0.004625873075863679,0.6597806628291667,0.00258809408642229
encoder,ridge,99.7257563273112,0.1348738262618209,0.028051327913999533,0.013937547252381811,0.05804049730016506,0.004051732900614483,0.2064660122835206,0.006781920845068149,0.573813109559982,0.007930793182006235
encoder,mlp,99.21677907307942,0.31261113119865025,0.07769285266598062,0.031314696712045315,0.08516776120621371,0.0026975782710178236,0.2557864464865844,0.009399257379866485,0.6275395421303375,0.010805230624886026
encoder_gaussian_noise,ridge,99.90045928955078,0.030442065274337102,0.0096290173629919,0.002766544162582217,0.051745754499688136,0.003813610357517927,0.20872651462433722,0.0053771033141019895,0.5784667170681496,0.004629863100901304
encoder_gaussian_noise,mlp,99.73363240559895,0.12897184184567212,0.026266540090243,0.012935839692826485,0.05947170847632654,0.0033652088600773346,0.23666939352194802,0.005902671026598903,0.626063209857226,0.003964024534953067
