view_order,view,short_label,representation,train_condition,test_condition,n_seeds,sex_balanced_accuracy_mean,sex_balanced_accuracy_std,age_group_balanced_accuracy_mean,age_group_balanced_accuracy_std,age_mae_years_mean,age_mae_years_std,sex_n_test_mean,age_n_test_mean,sex_ba_excess_over_constant,age_group_ba_excess_over_constant,age_mae_improvement_over_constant_years,sex_ba_excess_over_utility_only,age_group_ba_excess_over_utility_only,age_mae_improvement_over_utility_only_years
1,Constant / training-median baseline,No-information baseline,constant_baseline,single_segment,single_segment,3,0.5,0.0,0.5,0.0,15.145328898519205,0.08957845962272817,1000.0,998.3333333333334,0.0,0.0,0.0,-0.015199460431862377,-0.15582323498484818,-1.3203645777795874
2,Utility-label-only baseline,Utility label only,utility_only,single_segment,single_segment,3,0.5151994604318624,0.004075259287995363,0.6558232349848482,0.011682565390617012,13.824964320739618,0.19229693836437653,1000.0,998.3333333333334,0.015199460431862377,0.15582323498484818,1.3203645777795874,0.0,0.0,0.0
3,"Raw handcrafted, single segment","Raw, single",raw_features,single_segment,single_segment,3,0.6859295108571212,0.007965013641419777,0.7072526797102655,0.02632226549645468,11.563172067187862,0.2723068109984431,1000.0,998.3333333333334,0.18592951085712117,0.2072526797102655,3.5821568313313428,0.1707300504252588,0.05142944472541733,2.2617922535517554
4,"Raw handcrafted, attacker-linked aggregate","Raw, linked",raw_features,oracle_group,link_selected_group,3,0.7021941725486115,0.01938716424390045,0.720617084798512,0.01681715027708754,11.161894980548903,0.1597863238716025,1000.0,998.3333333333334,0.2021941725486115,0.22061708479851205,3.983433917970302,0.18699471211674912,0.06479384981366387,2.663069340190715
5,"Supervised encoder, single segment","Encoder, single",encoder,single_segment,single_segment,3,0.5650794944307059,0.008612249848943142,0.6878854767973307,0.023825959696278938,12.65475109820977,0.08105533845133954,1000.0,998.3333333333334,0.06507949443070593,0.1878854767973307,2.4905778003094348,0.049880033998843554,0.03206224181248252,1.1702132225298474
6,"Supervised encoder, attacker-linked aggregate","Encoder, linked",encoder,oracle_group,link_selected_group,3,0.56587889624119,0.01044817599415859,0.6815167136933337,0.025556975727973757,12.665368253923818,0.19571503839843132,1000.0,998.3333333333334,0.06587889624119003,0.18151671369333366,2.479960644595387,0.050679435809327655,0.025693478708485484,1.1595960668157996
7,"Gaussian C=2, single segment","Gaussian C=2, single",encoder_gaussian_noise,single_segment,single_segment,3,0.5355638542835909,0.006129468799029215,0.6652512994618868,0.018865806858229566,13.30320294314167,0.2533136148056701,1000.0,998.3333333333334,0.03556385428359088,0.16525129946188677,1.8421259553775347,0.0203643938517285,0.009428064477038589,0.5217613775979473
8,"Gaussian C=2, attacker-linked aggregate","Gaussian C=2, linked",encoder_gaussian_noise,oracle_group,link_selected_group,3,0.5280443053240772,0.0020712183036178176,0.6594201760225928,0.01905981706523813,13.40485076756962,0.13286619064209143,1000.0,998.3333333333334,0.0280443053240772,0.15942017602259284,1.740478130949585,0.012844844892214824,0.003596941037744661,0.42011355316999754
